Names, Units, Usually Offered In: , Additional Information 
CSB 50. Introduction to the Craig School of Business,Units: 1,,
CSB 150. Strategies for Success,Units: 1,,
CSB 184. Junior Honors Seminar,Units: 3,Spring,
CSB 185. Senior Honors Seminar I,Units: 3,,
CSB 186. Senior Honors Seminar II,Units: 3,,
