Names, Units, Usually Offered In: , Additional Information 
AH 100H. Arts & Humanities Honors Seminar,Units: 3,Spring,
AH 101H. Arts & Humanities Honors Colloquium,Units: 3,Fall / Spring,
AH 105. Arts and Humanities Study Abroad Experience,Units: 3,,GE Area: IC / Repeatable up to 9 units
AH 116. Humanities of the Modern Era,Units: 3,,
